year,nominal_gdp,growth_rate
1,19502624.16130688,N/A
2,20364119.284337554,4.417329257361562
3,23393648.882913828,14.876801477520047
4,24454880.760229316,4.5364102138447775
5,22638080.038070384,-7.429194768815119
6,21595616.288459186,-4.604912377101287
7,20758572.02250551,-3.875991565941075
8,19869889.083068818,-4.281040807976689
9,21333011.18936962,7.363514210794116
10,23124490.15989116,8.397684483539976
11,22948210.55352291,-0.7623069963894812
12,24530525.24059532,6.895154998608366
13,24672080.541676622,0.5770577665701387
14,24204306.256558128,-1.8959661076345773
15,22860787.834917616,-5.550741291238153
16,21199562.24921626,-7.266703132444098
17,22787635.633150503,7.491066868576285
18,24452231.8389894,7.304821933423014
19,24831106.725155562,1.5494491000287423
20,25262862.484118894,1.7387696961808565
