year,unemployment_rate,wage_inflation
2,0.15916666666666668,-0.009052913476165374
3,0.14416666666666667,0.05811635285104238
4,0.16666666666666666,0.0281294323336712
5,0.22083333333333333,-0.00648356264748077
6,0.24583333333333335,-0.007541252345670058
7,0.2625,-0.008705314226346862
8,0.26583333333333337,-0.01360375099788169
9,0.20750000000000002,0.0009577522043584953
10,0.15333333333333335,0.007675958538623852
11,0.16249999999999998,0.006970717174131097
12,0.13333333333333333,0.02530371034368544
13,0.15999999999999998,0.021654011076788483
14,0.18916666666666662,0.006253411395875204
15,0.23000000000000007,-0.00535366493630715
16,0.23666666666666666,-0.023267758637415842
17,0.19499999999999998,0.009583229600536312
18,0.16833333333333333,0.025944828787243246
19,0.17833333333333334,0.013252967779682432
20,0.1725,0.008085072955359821
